sex,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
female,logreg,0.8652564102564103,0.10081889082090506,0.6371428571428572,0.37123723195351915,0.9264120370370371,0.09506463752663456
female,rf,0.9061965811965813,0.1090206687069327,0.72,0.3521363372331802,0.9592361111111112,0.05643217527597709
female,svm,0.9068376068376068,0.09390479350177852,0.7266666666666667,0.32386554137309653,0.9265340909090909,0.08890486980783681
male,logreg,0.8008251633986928,0.09318844585948252,0.8237290085116171,0.07455148455364746,0.8576687201687202,0.12683047794110278
male,rf,0.8018872549019609,0.1013881424076468,0.8241909902962534,0.07814219608176723,0.8895799200799199,0.08072031931157499
male,svm,0.8008291316526611,0.12157953463418954,0.8234381914381915,0.09919609635826337,0.8538327783327784,0.12864715505864102
