model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
logreg,0.8220689655172414,0.07612632484142265,0.804450503685886,0.08502919161134657,0.8971840659340659,0.07740367348544631
rf,0.835632183908046,0.09316413202964173,0.8138417433529878,0.10369640587003873,0.9210851648351648,0.058314398871233755
svm,0.8320689655172414,0.09880073887061726,0.8103227232537578,0.11091632765117744,0.8951236263736263,0.07781512244074418
