model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,feature_set
logreg,0.8421839080459771,0.09469579448139155,0.8202389092389092,0.11193384895454807,0.9046016483516484,0.07650696776686865,0.8985638520678538,0.08716067249214365,0.7972527472527473,0.13913267391704776,0.88125,0.07482618748361652,selected
rf,0.8285057471264368,0.06876898348137853,0.8060386473429952,0.0768838536264064,0.9148008241758241,0.064222327698904,0.9138629562585188,0.06609732585929919,0.7741758241758242,0.08545285889541603,0.875,0.07216878364870322,selected
svm,0.8488505747126437,0.08211086430601666,0.8308217057527403,0.09299618405434973,0.9017857142857142,0.07132907565106522,0.9001408411167067,0.08255995482087977,0.810989010989011,0.10955994356584191,0.88125,0.07482618748361655,selected
