model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
logreg,0.8144632768361582,0.060536202480683754,0.7919663142317503,0.06974138033023457,0.8806960978835978,0.03782253809216449
rf,0.8012429378531074,0.066927277171822,0.7779424711308305,0.07461821820913424,0.8871734457671957,0.05424959831218514
