cluster,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
0,logreg,0.7706197309002358,0.07970655781822056,0.7,0.2527500545461193,0.8168194367265574,0.05714434590215462
0,rf,0.7941824514896043,0.08085919962522627,0.6870089858793325,0.2916156933032961,0.7908671376782832,0.09183232561875715
1,logreg,0.8665663736759072,0.07883511856300182,0.5921176926054975,0.41160530351832014,0.8494800489365707,0.10501269883151619
1,rf,0.8247025016903313,0.09424365116643153,0.4472586872586873,0.46137377396847534,0.8100572233724407,0.10784418798713366
