sex,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
female,logreg,0.8199896800825593,0.12288221690787438,0.4611111111111111,0.4283545894711386,0.9009226190476192,0.0716205567236681
female,rf,0.874891640866873,0.020982556727835493,0.7266666666666667,0.05845225972250066,0.9297399749373433,0.07854058416984701
male,logreg,0.7637303347059444,0.0794275811516408,0.7881722197689798,0.06889960777475279,0.8738868772860867,0.0627357773633997
male,rf,0.7558149167905265,0.12140892571175362,0.7829441273136135,0.10141870050141717,0.8630212277840735,0.0986603369398599
