cluster,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
0,logreg,0.8057471264367816,0.07638051984321037,0.8794647389534689,0.045775238472386834,0.8664045948203842,0.06953910393091457
0,rf,0.79823973727422,0.04026374768670761,0.8693410293410293,0.03213775026834801,0.8375085630743525,0.06887917505527956
1,logreg,0.7950648323845667,0.11063527640570198,0.4171978021978022,0.30297973264147326,0.8303780864197531,0.09690754268024065
1,rf,0.8088638519924098,0.07348035200728985,0.3921678321678322,0.15411800520569718,0.835175590445518,0.06414785868865468
