model,accuracy_mean,accuracy_std,f1_mean,f1_std,rocauc_mean,rocauc_std
logreg,0.8236065573770492,0.06503136323946823,0.7877654085150297,0.09043770095992124,0.8979291927208592,0.039613599329264775
rf,0.8204371584699454,0.032954670863941646,0.7912418300653595,0.056722989551678094,0.9068483696087861,0.030646761372477307
