fold,C,max_proba_female_val,female_train_positive_rate,female_roc_auc
0,7.743,0.907,0.267,1.0
1,2.154,0.862,0.264,1.0
2,0.167,0.766,0.276,0.75
3,2.154,0.992,0.265,0.8
4,2.154,0.43,0.262,0.926
5,2.154,0.996,0.25,0.844
6,0.599,0.929,0.226,1.0
7,7.743,0.997,0.264,1.0
8,2.154,0.953,0.253,0.944
9,0.046,0.678,0.277,1.0
