scaling,k,cluster_sizes,disease_rates,pct_male,ari_vs_outcome,ari_vs_sex
passthrough unscaled (uncorrected),2,"[123, 174]","[np.float64(0.78), np.float64(0.236)]","[np.float64(74.8), np.float64(62.6)]",0.291,-0.003
passthrough standardised (corrected),2,"[127, 170]","[np.float64(0.811), np.float64(0.2)]","[np.float64(78.0), np.float64(60.0)]",0.369,0.01
