model,fold,sex,n,best_params
svm,2,male,21,"{'clf__estimator__C': np.float64(0.01), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,2,female,9,"{'clf__estimator__C': np.float64(0.001), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,3,male,17,"{'clf__estimator__C': np.float64(1.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,3,female,13,"{'clf__estimator__C': np.float64(1.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,4,male,18,"{'clf__estimator__C': np.float64(0.1), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,4,female,12,"{'clf__estimator__C': np.float64(0.1), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,5,male,18,"{'clf__estimator__C': np.float64(0.01), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,5,female,12,"{'clf__estimator__C': np.float64(1.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,6,male,18,"{'clf__estimator__C': np.float64(10.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,6,female,12,"{'clf__estimator__C': np.float64(10.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,7,male,24,"{'clf__estimator__C': np.float64(0.1), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,7,female,5,"{'clf__estimator__C': np.float64(1.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,8,male,20,"{'clf__estimator__C': np.float64(1.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,8,female,9,"{'clf__estimator__C': np.float64(100.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
svm,9,male,16,"{'clf__estimator__C': np.float64(0.01), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'linear'}"
svm,9,female,13,"{'clf__estimator__C': np.float64(10.0), 'clf__estimator__gamma': 'scale', 'clf__estimator__kernel': 'rbf'}"
