model,rocauc_pooled_mean,rocauc_pooled_std,rocauc_weighted_mean,rocauc_weighted_std
logreg,0.897,0.077,0.88,0.104
rf,0.921,0.058,0.913,0.068
svm,0.895,0.078,0.878,0.097
